,stock_id,time_id,target
0,stock_id=0,5,0
1,stock_id=0,11,1
2,stock_id=0,16,0
3,stock_id=0,31,0
4,stock_id=0,62,0
5,stock_id=0,72,0
6,stock_id=0,97,0
7,stock_id=0,103,0
8,stock_id=0,109,0
9,stock_id=0,123,0
10,stock_id=0,128,0
11,stock_id=0,146,0
12,stock_id=0,147,0
13,stock_id=0,152,0
14,stock_id=0,157,0
15,stock_id=0,159,1
16,stock_id=0,169,0
17,stock_id=0,207,0
18,stock_id=0,211,1
19,stock_id=0,213,1
20,stock_id=0,218,0
21,stock_id=0,227,0
22,stock_id=0,229,0
23,stock_id=0,232,0
24,stock_id=0,250,0
25,stock_id=0,254,0
26,stock_id=0,256,0
27,stock_id=0,266,0
28,stock_id=0,273,0
29,stock_id=0,289,0
30,stock_id=0,297,1
31,stock_id=0,303,0
32,stock_id=0,309,1
33,stock_id=0,310,1
34,stock_id=0,317,0
35,stock_id=0,319,0
36,stock_id=0,325,0
37,stock_id=0,326,0
38,stock_id=0,335,0
39,stock_id=0,337,0
40,stock_id=0,358,0
41,stock_id=0,371,0
42,stock_id=0,373,0
43,stock_id=0,380,1
44,stock_id=0,381,0
45,stock_id=0,411,0
46,stock_id=0,420,0
47,stock_id=0,424,0
48,stock_id=0,427,0
49,stock_id=0,436,0
50,stock_id=0,438,0
51,stock_id=0,454,1
52,stock_id=0,465,0
53,stock_id=0,468,0
54,stock_id=0,487,0
55,stock_id=0,493,0
56,stock_id=0,506,0
57,stock_id=0,535,0
58,stock_id=0,536,0
59,stock_id=0,539,0
60,stock_id=0,545,1
61,stock_id=0,554,0
62,stock_id=0,568,1
63,stock_id=0,579,0
64,stock_id=0,589,0
65,stock_id=0,591,0
66,stock_id=0,595,0
67,stock_id=0,611,0
68,stock_id=0,618,0
69,stock_id=0,627,0
70,stock_id=0,633,0
71,stock_id=0,640,0
72,stock_id=0,646,1
73,stock_id=0,650,0
74,stock_id=0,652,0
75,stock_id=0,659,0
76,stock_id=0,675,1
77,stock_id=0,697,0
78,stock_id=0,709,0
79,stock_id=0,725,0
80,stock_id=0,728,0
81,stock_id=0,735,0
82,stock_id=0,745,0
83,stock_id=0,746,0
84,stock_id=0,748,1
85,stock_id=0,753,0
86,stock_id=0,785,0
87,stock_id=0,817,1
88,stock_id=0,840,1
89,stock_id=0,841,0
90,stock_id=0,852,0
91,stock_id=0,854,0
92,stock_id=0,868,0
93,stock_id=0,886,1
94,stock_id=0,895,0
95,stock_id=0,904,1
96,stock_id=0,908,0
97,stock_id=0,947,0
98,stock_id=0,951,1
99,stock_id=0,957,0
100,stock_id=0,969,1
101,stock_id=0,985,0
102,stock_id=0,991,1
103,stock_id=0,1000,1
104,stock_id=0,1011,0
105,stock_id=0,1016,1
106,stock_id=0,1020,0
107,stock_id=0,1022,0
108,stock_id=0,1028,0
109,stock_id=0,1037,0
110,stock_id=0,1040,0
111,stock_id=0,1057,0
112,stock_id=0,1063,0
113,stock_id=0,1070,1
114,stock_id=0,1075,1
115,stock_id=0,1100,0
116,stock_id=0,1107,0
117,stock_id=0,1119,0
118,stock_id=0,1125,0
119,stock_id=0,1128,0
120,stock_id=0,1135,0
121,stock_id=0,1142,0
122,stock_id=0,1149,1
123,stock_id=0,1158,1
124,stock_id=0,1161,0
125,stock_id=0,1173,0
126,stock_id=0,1176,0
127,stock_id=0,1178,0
128,stock_id=0,1191,0
129,stock_id=0,1198,0
130,stock_id=0,1205,0
131,stock_id=0,1209,0
132,stock_id=0,1213,0
133,stock_id=0,1215,0
134,stock_id=0,1219,0
135,stock_id=0,1227,1
136,stock_id=0,1235,1
137,stock_id=0,1239,1
138,stock_id=0,1242,0
139,stock_id=0,1247,0
140,stock_id=0,1249,0
141,stock_id=0,1255,0
142,stock_id=0,1264,0
143,stock_id=0,1269,1
144,stock_id=0,1273,1
145,stock_id=0,1274,0
146,stock_id=0,1280,0
147,stock_id=0,1289,0
148,stock_id=0,1291,0
149,stock_id=0,1292,0
150,stock_id=0,1302,0
151,stock_id=0,1310,0
152,stock_id=0,1321,1
153,stock_id=0,1322,1
154,stock_id=0,1326,0
155,stock_id=0,1348,0
156,stock_id=0,1350,1
157,stock_id=0,1359,0
158,stock_id=0,1363,0
159,stock_id=0,1365,1
160,stock_id=0,1377,1
161,stock_id=0,1380,0
162,stock_id=0,1392,0
163,stock_id=0,1404,0
164,stock_id=0,1408,0
165,stock_id=0,1416,1
166,stock_id=0,1417,0
167,stock_id=0,1427,0
168,stock_id=0,1430,0
169,stock_id=0,1433,1
170,stock_id=0,1459,0
171,stock_id=0,1462,0
172,stock_id=0,1463,0
173,stock_id=0,1464,0
174,stock_id=0,1468,0
175,stock_id=0,1471,1
176,stock_id=0,1477,1
177,stock_id=0,1481,0
178,stock_id=0,1501,0
179,stock_id=0,1513,0
180,stock_id=0,1521,0
181,stock_id=0,1524,1
182,stock_id=0,1529,1
183,stock_id=0,1532,0
184,stock_id=0,1536,0
185,stock_id=0,1541,1
186,stock_id=0,1544,0
187,stock_id=0,1551,0
188,stock_id=0,1563,0
189,stock_id=0,1565,0
190,stock_id=0,1581,1
191,stock_id=0,1587,0
192,stock_id=0,1600,0
193,stock_id=0,1640,0
194,stock_id=0,1651,0
195,stock_id=0,1658,0
196,stock_id=0,1663,1
197,stock_id=0,1674,0
198,stock_id=0,1676,0
199,stock_id=0,1688,0
200,stock_id=0,1707,1
201,stock_id=0,1712,0
202,stock_id=0,1719,0
203,stock_id=0,1722,1
204,stock_id=0,1728,1
205,stock_id=0,1744,0
206,stock_id=0,1747,0
207,stock_id=0,1761,0
208,stock_id=0,1787,0
209,stock_id=0,1789,0
210,stock_id=0,1797,0
211,stock_id=0,1810,0
212,stock_id=0,1813,1
213,stock_id=0,1816,0
214,stock_id=0,1820,0
215,stock_id=0,1822,1
216,stock_id=0,1823,0
217,stock_id=0,1826,1
218,stock_id=0,1827,0
219,stock_id=0,1841,1
220,stock_id=0,1862,0
221,stock_id=0,1866,0
222,stock_id=0,1870,0
223,stock_id=0,1875,0
224,stock_id=0,1876,0
225,stock_id=0,1879,0
226,stock_id=0,1890,0
227,stock_id=0,1904,0
228,stock_id=0,1909,0
229,stock_id=0,1920,0
230,stock_id=0,1923,0
231,stock_id=0,1930,1
232,stock_id=0,1938,0
233,stock_id=0,1946,0
234,stock_id=0,1948,0
235,stock_id=0,1956,0
236,stock_id=0,1962,1
237,stock_id=0,1980,0
238,stock_id=0,1981,0
239,stock_id=0,1991,0
240,stock_id=0,1998,1
241,stock_id=0,2000,0
242,stock_id=0,2006,0
243,stock_id=0,2010,1
244,stock_id=0,2014,1
245,stock_id=0,2018,0
246,stock_id=0,2027,0
247,stock_id=0,2037,0
248,stock_id=0,2046,1
249,stock_id=0,2058,0
250,stock_id=0,2075,0
251,stock_id=0,2076,0
252,stock_id=0,2077,0
253,stock_id=0,2085,0
254,stock_id=0,2086,1
255,stock_id=0,2088,1
